Date,Open,High,Low,Close,Volume
2022-05-19,137.85,139.606,134.62,135.358,138097963
2022-05-20,137.073,138.659,130.686,135.595,139448023
2022-05-23,135.792,141.182,135.654,141.033,119458326
2022-05-24,138.762,139.913,135.339,138.327,105664811
2022-05-25,136.423,139.73,136.334,138.482,93843358
2022-05-26,135.398,142.248,135.151,141.694,91934534
2022-05-27,143.281,147.509,143.153,147.471,92317035
2022-05-31,146.907,148.476,144.71,146.682,105244385
2022-06-01,147.727,149.54,145.539,146.556,75379586
2022-06-02,145.688,149.076,144.73,149.016,73412484
2022-06-03,144.77,145.826,142.363,143.271,89873389
2022-06-06,144.899,146.415,142.8,144.02,72651779
2022-06-07,142.252,146.84,142.012,146.556,68805785
2022-06-08,146.426,147.697,145.32,145.816,54743949
2022-06-09,144.948,145.806,140.463,140.572,70495105
2022-06-10,138.247,138.717,135.072,135.141,92913822
2022-06-13,130.943,133.239,129.535,129.968,124005085
2022-06-14,131.2,131.95,129.575,130.834,86031725
2022-06-15,132.342,135.348,130.244,133.465,92879661
2022-06-16,130.165,130.471,127.169,128.175,109549904
2022-06-17,128.18,131.151,127.928,129.653,136499435
2022-06-21,131.484,135.072,131.388,133.901,82192217
2022-06-22,132.836,135.763,131.968,133.386,74489276
2022-06-23,134.837,136.581,133.665,136.265,73499458
2022-06-24,137.87,139.853,137.744,139.606,90427979
2022-06-27,140.627,141.412,138.921,139.606,71240850
2022-06-28,140.069,141.344,135.334,135.447,68305712
2022-06-29,135.467,138.629,134.688,137.211,67217010
2022-06-30,135.26,136.364,131.835,134.738,100420493
2022-07-01,134.067,137.024,133.694,136.915,72096906
2022-07-05,135.773,139.557,134.944,139.507,74509983
2022-07-06,139.305,142.032,139.036,140.847,75153933
2022-07-07,141.212,144.425,141.202,144.229,67228474
2022-07-08,143.157,145.41,142.9,144.909,65497465
2022-07-11,143.559,144.512,141.694,142.77,64236497
2022-07-12,143.648,146.296,142.949,143.744,78730292
2022-07-13,140.917,144.328,140.059,143.38,72232886
2022-07-14,141.992,146.79,141.173,146.316,79290399
2022-07-15,147.607,148.675,146.05,147.994,77381914
2022-07-18,148.556,149.373,144.572,144.938,82618782
2022-07-19,145.776,149.036,144.78,148.81,84203255
2022-07-20,148.907,151.491,148.188,150.822,65777135
2022-07-21,152.26,153.313,149.736,153.098,66044230
2022-07-22,153.137,154.014,151.185,151.855,67656377
2022-07-25,151.776,152.792,150.074,150.733,54412893
2022-07-26,150.059,150.867,148.615,149.403,55949925
2022-07-27,150.367,155.05,149.954,154.518,79777404
2022-07-28,154.704,155.354,152.171,155.069,82576025
2022-07-29,158.901,161.257,157.188,160.155,103284411
2022-08-01,158.677,161.217,158.557,159.168,68827326
2022-08-02,157.779,160.055,157.316,157.69,60788414
2022-08-03,158.508,164.175,158.42,163.722,83721389
2022-08-04,163.597,164.767,162.046,163.406,56290313
2022-08-05,161.068,163.672,160.86,163.179,57451343
2022-08-08,164.186,165.609,162.044,162.705,61165463
2022-08-09,161.865,163.642,161.107,162.755,63975526
2022-08-10,165.479,167.118,164.71,167.018,71104164
2022-08-11,167.827,168.744,165.98,166.279,57909533
2022-08-12,167.591,169.91,167.175,169.84,68944651
2022-08-15,169.27,171.114,169.095,170.916,54811388
2022-08-16,170.511,171.43,169.408,170.759,57127151
2022-08-17,170.501,173.837,170.302,172.259,80600350
2022-08-18,171.469,172.603,170.848,171.864,63118849
2022-08-19,170.759,171.459,169.06,169.27,71282258
2022-08-22,167.462,167.63,164.942,165.369,69945216
2022-08-23,164.887,166.496,164.461,165.034,54867510
2022-08-24,165.034,165.903,164.064,165.33,54557889
2022-08-25,166.563,167.905,166.139,167.798,51899671
2022-08-26,168.331,168.803,161.412,161.471,80011562
2022-08-29,159.03,160.761,157.721,159.261,74289401
2022-08-30,160.0,160.426,155.649,156.824,78942745
2022-08-31,158.2,158.471,155.076,155.156,89161819
2022-09-01,154.585,156.341,152.639,155.886,75217530
2022-09-02,157.652,158.256,152.931,153.765,77981697
2022-09-06,154.416,155.028,151.672,152.5,74695625
2022-09-07,152.792,154.615,151.593,153.913,88613097
2022-09-08,152.609,154.306,150.675,152.432,86053765
2022-09-09,153.428,155.748,152.718,155.303,68986829
2022-09-12,157.495,162.102,157.209,161.284,106352409
2022-09-13,157.801,158.432,151.356,151.819,124288570
2022-09-14,152.753,155.038,151.593,153.27,89135795
2022-09-15,152.619,153.203,149.393,150.369,91684968
