Date,Open,High,Low,Close,Volume
2022-05-19,399.01,403.035,391.565,394.38,2797416
2022-05-20,401.39,406.24,385.621,399.09,3432395
2022-05-23,404.01,407.88,398.89,406.76,2337511
2022-05-24,401.61,404.33,391.0375,398.41,2630761
2022-05-25,395.32,406.095,394.71,402.5,2726718
2022-05-26,405.09,411.55,402.46,408.6,2419479
2022-05-27,414.8,428.55,414.63,428.22,3560381
2022-05-31,427.22,427.29,412.79,416.48,7944164
2022-06-01,428.0,437.549,413.785,418.16,3409856
2022-06-02,418.11,441.9,415.84,441.28,3415664
2022-06-03,430.71,438.01,427.255,429.76,2355536
2022-06-06,437.59,440.0,427.0361,429.46,1563987
2022-06-07,423.98,435.2,423.12,433.42,1611182
2022-06-08,430.54,433.75,426.42,428.84,1790134
2022-06-09,424.17,436.04,423.48,426.42,2572418
2022-06-10,412.9,413.96,390.185,393.84,4407524
2022-06-13,377.36,385.65,371.085,371.65,4724765
2022-06-14,371.44,376.89,367.31,370.82,3197215
2022-06-15,376.03,382.75,368.5,376.92,3664477
2022-06-16,369.37,376.12,360.9,365.08,5775295
2022-06-17,349.34,367.32,338.0,360.79,9475054
2022-06-21,355.02,372.795,353.51,362.99,5343494
2022-06-22,360.79,372.55,358.2228,365.33,3168159
2022-06-23,371.71,378.18,367.47,376.64,2534343
2022-06-24,380.64,388.06,378.22,387.72,3305337
2022-06-27,388.8,389.385,379.38,381.07,2244631
2022-06-28,381.0,382.98,364.45,365.63,2660047
2022-06-29,367.94,370.37,362.64,368.5,2027907
2022-06-30,362.9,370.42,357.56,366.06,2595510
2022-07-01,364.175,369.529,359.07,368.48,2471735
2022-07-05,363.5,378.52,359.82,376.49,3121504
2022-07-06,378.54,385.385,374.09,382.83,2284551
2022-07-07,382.5,392.07,382.38,390.89,2368519
2022-07-08,384.35,391.86,383.84,389.44,1611201
2022-07-11,386.57,388.05,380.4569,384.16,1835865
2022-07-12,383.9,391.515,372.91,375.54,2639683
2022-07-13,368.2,374.41,364.7,371.94,1993962
2022-07-14,368.83,374.194,361.46,372.96,2098363
2022-07-15,377.79,384.47,376.86,379.86,2488267
2022-07-18,383.83,385.565,374.01,375.23,1866609
2022-07-19,382.89,388.32,378.0,387.83,1977609
2022-07-20,392.19,403.13,390.07,401.49,2746782
2022-07-21,404.12,409.65,399.2401,408.91,2009914
2022-07-22,410.03,414.62,398.631,401.9,2413224
2022-07-25,400.11,400.7688,388.57,391.96,2340478
2022-07-26,393.58,393.58,378.16,379.26,2368512
2022-07-27,385.08,394.91,383.405,392.78,2669699
2022-07-28,392.76,406.15,390.06,403.5,2421734
2022-07-29,404.69,411.38,400.89,410.12,2670046
2022-08-01,406.51,417.16,405.07,411.09,1910045
2022-08-02,405.34,412.42,402.245,409.96,2165451
2022-08-03,412.81,426.04,412.02,424.54,2403471
2022-08-04,425.45,431.15,419.6303,430.59,2745635
2022-08-05,423.0,434.5425,421.0,433.43,2481397
2022-08-08,435.0,440.3,432.48,434.34,2202396
2022-08-09,434.34,434.59,424.615,426.57,1977285
2022-08-10,441.42,443.22,436.2,438.4,2634606
2022-08-11,445.26,445.61,434.4,434.89,1756701
2022-08-12,439.61,446.0,436.58,445.67,2150845
2022-08-15,445.07,451.15,442.14,451.02,2503382
2022-08-16,446.12,450.09,440.1,447.56,2139474
2022-08-17,440.87,442.99,436.1138,437.82,1894369
2022-08-18,438.61,441.39,437.0101,439.03,1402379
2022-08-19,431.58,432.5,424.62,425.055,2007722
2022-08-22,419.41,419.79,410.08,411.35,2074557
2022-08-23,410.37,415.7,409.2,410.41,1392235
2022-08-24,410.68,413.24,405.33,405.65,1883945
2022-08-25,405.79,406.67,392.915,403.93,3062439
2022-08-26,403.99,405.54,380.5,381.02,3600146
2022-08-29,380.09,382.86,374.82,375.26,2410300
2022-08-30,379.92,380.66,371.06,375.07,1835000
2022-08-31,378.53,381.145,372.5,373.44,3193853
2022-09-01,371.0,371.64,361.7205,370.53,2574360
2022-09-02,374.53,382.0,365.43,368.14,2450520
2022-09-06,367.23,374.3,365.37,368.3,2564423
2022-09-07,368.2,381.52,367.19,379.72,2385540
2022-09-08,377.2,386.66,375.2001,383.63,2276766
2022-09-09,390.19,396.09,389.665,394.78,3000456
2022-09-12,391.09,396.39,389.28,396.36,2854834
2022-09-13,382.55,383.575,367.37,368.39,4175142
2022-09-14,369.57,374.24,365.61,371.52,3004368
2022-09-15,323.15,329.0,305.0,309.13,27840207
2022-09-16,298.32,300.2,292.14,299.5,14948057
2022-09-19,294.88,299.28,293.4642,296.06,6593418
2022-09-20,292.82,294.08,287.8088,291.06,6548807
2022-09-21,292.84,297.94,286.22,286.3,4913148
2022-09-22,282.0,289.55,280.06,287.06,5657554
2022-09-23,285.57,288.5537,280.7,284.56,4739324
2022-09-26,286.03,288.9,276.75,276.96,6746157
2022-09-27,281.7,284.5,274.73,277.57,6390916
2022-09-28,280.38,282.74,275.37,281.4,4985056
2022-09-29,277.8,279.59,275.01,278.25,5155272
2022-09-30,279.69,284.29,274.85,275.2,4578776
2022-10-03,278.2694,286.9,277.0,285.24,3738131
2022-10-04,290.95,296.79,290.18,294.97,4509241
2022-10-05,291.41,298.8087,289.175,297.38,3469554
2022-10-06,297.15,305.5,297.1045,298.41,4884021
2022-10-07,291.36,293.705,286.83,288.77,3495936
2022-10-10,289.75,290.28,283.05,285.72,2906344
2022-10-11,285.69,288.28,281.44,284.83,3209826
2022-10-12,284.69,289.79,283.09,286.15,3044146
2022-10-13,279.71,298.17,276.595,294.74,4737194
2022-10-14,295.12,297.59,287.45,287.94,3564055
2022-10-17,297.45,297.96,291.4,293.5,4600581
2022-10-18,302.68,303.49,286.81,292.98,5472027
2022-10-19,295.4,303.71,292.7,299.83,5529099
2022-10-20,301.03,309.19,299.34,302.38,3621565
2022-10-21,300.99,307.43,298.23,306.37,3659302
2022-10-24,308.43,317.329,306.2,316.22,4817437
2022-10-25,319.12,324.23,316.74,323.79,3814599
2022-10-26,318.16,330.5849,316.54,320.48,4209819
2022-10-27,322.96,323.85,316.87,318.65,2870213
