Date,Open,High,Low,Close,Volume
2022-05-19,96.69,100.69,95.09,96.67,141506169
2022-05-20,98.385,98.64,88.26,93.5,164126807
2022-05-23,91.66,95.19,90.92,95.07,128773040
2022-05-24,92.54,93.42,89.62,91.16,123341410
2022-05-25,90.425,93.89,89.52,92.65,111771116
2022-05-26,91.34,100.33,90.74,98.75,128792745
2022-05-27,100.14,102.4,99.38,102.26,104348440
2022-05-31,102.43,104.55,100.04,101.86,125102894
2022-06-01,102.13,103.57,99.55,101.22,99351389
2022-06-02,100.78,109.5,100.78,108.59,120953796
2022-06-03,105.8,109.39,104.65,106.3,110844697
2022-06-06,108.27,109.57,104.225,105.65,96726891
2022-06-07,104.24,106.24,102.61,105.28,79022851
2022-06-08,104.57,105.848,100.41,101.9,97641865
2022-06-09,101.57,103.94,98.74,98.8,95298975
2022-06-10,98.82,99.928,94.25,94.82,102212244
2022-06-13,91.26,92.03,86.64,86.99,98148812
2022-06-14,87.41,88.3,85.8201,86.99,84066567
2022-06-15,87.9,90.86,86.19,89.3,95774807
2022-06-16,86.63,86.73,80.64,82.05,102433342
2022-06-17,82.19,82.94,79.43,81.57,105212293
2022-06-21,84.17,85.81,82.6,83.79,87780567
2022-06-22,84.4,86.375,83.3001,83.75,86634716
2022-06-23,84.315,84.41,80.2251,82.43,100614559
2022-06-24,83.56,87.53,83.0801,87.08,88553886
2022-06-27,87.355,88.22,85.25,86.16,74663487
2022-06-28,85.71,86.73,80.43,80.78,95752533
2022-06-29,79.55,79.75,76.51,77.99,104140895
2022-06-30,77.73,78.91,75.48,76.47,105368616
2022-07-01,75.185,75.45,72.69,73.67,87734237
2022-07-05,71.98,75.21,71.6,75.2,95685751
2022-07-06,75.17,76.28,73.55,75.35,85458857
2022-07-07,77.195,79.99,76.9,79.3,83640945
2022-07-08,78.31,80.47,77.4,79.35,83405931
2022-07-11,77.845,78.29,75.8417,76.95,76247536
2022-07-12,76.98,77.44,74.43,76.36,77873214
2022-07-13,74.94,79.11,74.48,77.52,79354976
2022-07-14,78.23,79.25,76.0,78.6,83493646
2022-07-15,79.36,81.2,77.9,81.11,76050597
2022-07-18,82.21,84.47,80.94,81.43,90464334
2022-07-19,82.76,86.41,82.19,85.88,85047506
2022-07-20,85.39,89.9198,85.08,89.43,88348558
2022-07-21,89.6,91.58,88.22,91.09,90449338
2022-07-22,90.2,90.69,87.04,88.1,76989702
2022-07-25,86.57,87.6,85.12,87.54,70083006
2022-07-26,87.0,87.749,84.71,85.25,69180367
2022-07-27,86.94,90.62,86.29,89.82,78301564
2022-07-28,90.415,92.22,88.5909,91.67,79009185
2022-07-29,90.7,94.81,90.56,94.47,76630707
2022-08-01,95.59,98.39,93.96,96.78,96477499
2022-08-02,95.71,100.915,95.36,99.29,116734097
2022-08-03,94.83,98.7693,93.62,98.09,131142046
2022-08-04,97.5,104.59,97.26,103.91,125855773
2022-08-05,101.05,103.86,100.98,102.31,93859876
2022-08-08,100.06,101.8,97.99,100.07,92692592
2022-08-09,97.95,98.0461,93.67,95.54,89473663
2022-08-10,98.45,99.35,95.61,99.05,83416119
2022-08-11,99.93,102.37,98.0,98.12,77516860
2022-08-12,99.2,101.4,98.48,100.83,72316345
2022-08-15,100.505,101.85,99.8002,101.01,61327142
2022-08-16,100.84,101.45,98.3201,100.2,60220671
2022-08-17,99.26,99.64,96.725,98.27,63735583
2022-08-18,97.74,101.07,96.7342,100.44,76059523
2022-08-19,98.67,99.245,94.59,95.95,67221693
2022-08-22,94.4,95.02,92.36,92.84,61837284
2022-08-23,92.39,94.44,92.11,92.49,52590673
2022-08-24,92.21,93.38,90.9,92.73,56520431
2022-08-25,93.14,97.57,93.14,97.18,61016201
2022-08-26,96.29,97.5999,91.12,91.18,65552540
2022-08-29,90.05,91.19,88.26,88.49,61142538
2022-08-30,90.055,90.15,85.34,86.94,69087118
2022-08-31,86.28,86.72,83.72,84.87,64991720
2022-09-01,82.345,82.755,78.52,82.33,94854710
2022-09-02,83.315,83.65,79.805,80.24,84924445
2022-09-06,80.41,80.89,78.3724,78.72,68727299
2022-09-07,79.24,80.25,77.74,79.61,67891169
2022-09-08,80.03,83.45,79.24,82.78,89089304
2022-09-09,84.03,85.68,83.84,85.45,68936919
2022-09-12,84.89,85.3488,83.46,84.64,71922542
2022-09-13,80.955,81.47,76.8,77.03,80921218
2022-09-14,77.1,78.08,75.87,77.45,71482997
2022-09-15,76.64,77.97,74.905,76.66,81817966
2022-09-16,75.62,76.82,74.68,76.51,75300178
2022-09-19,75.39,77.34,75.35,76.77,64966909
2022-09-20,76.08,76.58,74.7312,75.25,51129084
2022-09-21,75.435,78.41,74.45,74.48,82069703
2022-09-22,73.89,74.29,69.17,69.5,101436851
2022-09-23,68.0,69.0801,66.8216,67.96,87689951
2022-09-26,67.87,68.74,66.25,66.3,82898693
2022-09-27,67.9,68.78,66.0,67.17,94871793
2022-09-28,67.085,68.7979,66.56,68.36,72389462
2022-09-29,67.15,67.2,62.8301,64.14,102552389
2022-09-30,63.615,65.91,63.34,63.36,81664125
2022-10-03,64.46,66.91,63.39,66.11,83841632
2022-10-04,68.27,69.18,67.33,67.9,77160479
2022-10-05,66.59,68.69,64.515,67.94,87127384
2022-10-06,67.82,70.29,67.661,67.85,98325917
2022-10-07,64.0101,64.03,58.22,58.44,163786265
2022-10-10,57.31,58.79,56.3,57.81,112241785
2022-10-11,57.21,58.915,56.05,57.63,114054838
2022-10-12,57.45,58.32,56.32,57.85,89264184
2022-10-13,55.52,60.14,54.57,58.94,131159784
2022-10-14,59.6,59.94,55.835,55.94,96959299
2022-10-17,57.35,58.51,57.1,57.96,76977604
2022-10-18,59.91,60.49,56.4,57.92,103064529
2022-10-19,57.325,59.0376,56.57,57.23,75704837
2022-10-20,57.47,60.2,57.4,57.77,79552604
2022-10-21,57.215,58.91,55.71,58.82,95366369
2022-10-24,58.57,59.0,56.66,58.7,76305381
2022-10-25,58.765,61.975,58.69,61.47,85501881
2022-10-26,59.69,61.77,59.15,59.73,79915891
2022-10-27,61.6,62.72,58.51,58.6,83871440
2022-10-28,59.1,62.35,58.92,62.01,78198605
2022-10-31,60.75,61.86,59.525,60.06,73274137
2022-11-01,61.485,61.99,59.425,59.66,83806667
2022-11-02,62.9999,63.93,58.57,58.63,142669440
2022-11-03,58.11,62.28,58.03,60.11,95279891
2022-11-04,62.5,63.0,60.53,62.19,84791349
2022-11-07,62.93,63.53,61.4,63.08,62722498
2022-11-08,64.09,64.96,62.3678,63.85,75938045
2022-11-09,62.28,63.05,59.8,59.92,62940338
2022-11-10,64.3,68.8,63.62,68.47,107996331
2022-11-11,69.58,73.32,68.29,72.37,111709462
2022-11-14,75.22,75.25,72.67,73.53,108892750
2022-11-15,77.26,79.16,75.39,76.37,108946318
2022-11-16,73.655,74.8268,71.925,72.7,79967998
2022-11-17,70.56,74.38,70.16,73.9,82320829
2022-11-18,75.07,75.3499,72.18,73.57,73223214
2022-11-21,72.21,72.98,71.57,72.46,51536349
2022-11-22,72.72,75.33,72.1091,75.25,55450160
2022-11-23,75.49,78.22,75.3,76.4,81623628
2022-11-25,75.67,76.0393,74.7495,75.14,26018911
2022-11-28,73.81,75.4699,72.57,73.19,45448323
2022-11-29,73.62,74.4899,72.78,73.39,51846449
2022-11-30,73.38,77.7,72.8131,77.63,88468439
2022-12-01,78.31,79.23,76.44,77.48,59833354
2022-12-02,75.05,76.28,73.65,74.98,64377175
2022-12-05,74.54,75.17,72.82,73.62,47022185
2022-12-06,73.08,73.3911,69.4,70.27,64965235
2022-12-07,69.53,71.37,69.28,70.14,59180109
