Date,Open,High,Low,Close,Volume
2022-05-19,128.822,129.134,125.611,126.538,5963248.5698904
2022-05-20,127.045,127.231,122.771,125.386,7085053.6697766
2022-05-23,126.382,128.773,126.304,128.012,3680121.8823793
2022-05-24,127.426,131.135,127.279,130.578,4293093.1558912
2022-05-25,129.661,131.574,129.661,131.154,3380704.4352363
2022-05-26,131.749,134.238,131.281,133.594,4026283.8557545
2022-05-27,134.082,136.375,133.935,135.916,4721910.3213686
2022-05-31,134.872,136.463,133.516,135.496,8174890.0181796
2022-06-01,136.307,137.088,135.184,136.073,3890156.1390152
2022-06-02,136.092,136.912,133.555,136.775,3826958.4494585
2022-06-03,136.883,139.146,136.375,137.78,4459592.1599784
2022-06-06,139.537,141.245,138.581,139.439,4884715.3817685
2022-06-07,139.167,139.537,137.566,139.342,2958281.22499
2022-06-08,138.649,139.361,136.775,137.439,3079822.7313584
2022-06-09,136.775,137.644,134.609,134.638,3681187.5415845
2022-06-10,134.482,134.482,131.993,132.91,4776731.3147692
2022-06-13,130.744,134.257,130.54,131.857,6646069.7056128
2022-06-14,131.749,133.652,131.613,132.452,4721469.7122741
2022-06-15,132.735,135.116,132.315,133.76,4720549.5565373
2022-06-16,132.043,132.96,131.154,132.403,5519290.8463208
2022-06-17,132.716,133.682,129.651,131.769,13288472.109019
2022-06-21,132.726,135.165,132.628,134.531,4190163.7974104
2022-06-22,132.823,134.853,132.754,133.779,3885183.4042817
2022-06-23,133.838,135.282,133.214,135.106,4660132.8276372
2022-06-24,135.848,138.942,135.78,138.639,11776571.185679
2022-06-27,138.835,140.366,138.532,139.361,4033077.4331876
2022-06-28,139.479,140.684,137.918,138.444,4165499.9348442
2022-06-29,139.303,140.066,136.141,137.322,4264164.6071597
2022-06-30,136.219,139.029,135.926,137.79,4998372.0346907
2022-07-01,137.605,138.259,135.907,137.722,4111093.9337303
2022-07-05,136.599,136.599,132.013,134.307,6428862.7427883
2022-07-06,134.677,135.79,133.828,134.755,3316924.731806
2022-07-07,135.566,137.923,135.488,137.439,3993226.9022753
2022-07-08,137.371,137.918,136.453,137.088,2890526.8176588
2022-07-11,137.234,138.454,136.755,137.605,4009310.158895
2022-07-12,137.449,138.142,135.229,135.829,3315400.0194047
2022-07-13,133.877,135.556,133.506,133.877,4224942.200375
2022-07-14,132.335,136.073,131.769,135.712,5429073.5725511
2022-07-15,137.293,137.293,135.272,136.551,4630822.076133
2022-07-18,136.775,136.931,134.467,134.804,8434788.9282397
2022-07-19,128.412,129.369,124.645,127.729,30423069.163105
2022-07-20,127.553,127.573,124.977,126.07,10125828.188643
2022-07-21,125.65,125.708,122.117,124.089,12270820.851027
2022-07-22,123.971,125.23,122.683,125.162,6626765.9039143
2022-07-25,125.348,126.017,124.821,125.445,4818369.8988672
2022-07-26,125.172,126.187,124.557,124.996,3735251.3021461
2022-07-27,124.889,126.314,124.509,126.011,4278647.3256271
2022-07-28,125.65,126.685,125.51,126.108,4010239.5366826
2022-07-29,126.401,127.846,126.196,127.641,5929589.1090912
2022-08-01,127.602,129.505,127.553,128.861,4244294.1616722
2022-08-02,129.017,129.583,127.367,128.636,4512280.8102962
2022-08-03,128.646,129.663,128.158,129.153,3164733.2272207
2022-08-04,128.968,129.102,127.865,128.47,3258241.7484589
2022-08-05,128.09,129.475,127.914,129.29,2650334.4055163
2022-08-08,129.895,130.139,128.841,129.417,3919520.1734796
2022-08-09,128.389,129.249,127.599,127.945,3537673.0951874
2022-08-10,129.209,130.227,128.804,129.951,3707680.1777811
2022-08-11,130.8,131.655,130.445,130.978,3543677.8452416
2022-08-12,131.057,132.51,130.425,132.431,2800045.1055882
2022-08-15,131.393,133.597,130.682,133.34,2824520.4830001
2022-08-16,133.014,135.751,132.868,134.951,4365030.3056845
2022-08-17,134.852,136.784,134.694,136.167,3711295.7780412
2022-08-18,136.167,137.481,136.127,137.431,3215613.4767159
2022-08-19,137.115,137.698,136.038,136.74,3193468.5575742
2022-08-22,136.028,136.226,133.874,133.953,3130513.8027505
2022-08-23,133.775,134.496,133.133,133.152,4191179.9401946
2022-08-24,133.301,133.518,131.542,131.66,2889465.6900241
2022-08-25,132.075,132.841,131.502,132.401,2738268.2289349
2022-08-26,132.52,132.599,128.804,128.844,4235154.058556
2022-08-29,128.458,129.872,128.043,128.775,2816153.9050681
2022-08-30,129.022,129.229,127.767,128.053,2436596.8315778
2022-08-31,128.389,128.468,126.887,126.937,3531995.1962062
2022-09-01,126.887,128.288,126.235,128.132,3436711.5309119
2022-09-02,128.765,129.022,125.741,126.284,3077068.0867302
2022-09-06,126.294,126.551,124.812,125.227,3387014.9889649
2022-09-07,125.197,126.36,124.792,126.205,2430145.8235569
2022-09-08,125.701,127.025,125.098,126.956,2999959.567328
2022-09-09,127.381,127.964,126.551,127.668,3332631.2204842
2022-09-12,128.794,129.447,128.36,129.121,3785773.2980937
2022-09-13,127.618,128.378,125.277,125.751,4620019.6791957
2022-09-14,125.998,127.48,125.35,126.186,3864601.0743786
2022-09-15,125.889,125.963,123.428,124.011,5202974.2527956
2022-09-16,122.895,126.027,122.371,125.77,9957012.9911727
2022-09-19,125.0,126.551,124.792,126.225,4029077.9987238
2022-09-20,125.405,125.494,124.041,124.812,2871315.8422026
2022-09-21,125.395,126.334,123.448,123.458,3429957.9579658
2022-09-22,123.29,125.019,122.944,123.834,4094996.6755072
2022-09-23,123.063,123.527,120.306,121.264,5257640.347745
2022-09-26,120.859,122.796,120.315,120.572,4035363.0514011
2022-09-27,121.155,122.49,119.653,120.306,4166303.8413434
2022-09-28,120.217,121.778,118.398,121.314,5055948.9495213
2022-09-29,120.414,121.175,119.149,120.197,3863241.0500994
2022-09-30,120.227,120.987,117.212,117.41,5409848.7197381
2022-10-03,118.744,120.77,118.191,120.078,4312540.8567355
2022-10-04,121.353,124.17,121.076,124.021,4620495.2829243
2022-10-05,123.241,124.97,122.766,124.258,3251178.5163866
