Date,Open,High,Low,Close,Volume
2022-05-19,178.045,186.3,175.71,183.48,10448513
2022-05-20,185.8665,190.19,179.77,186.35,10429396
2022-05-23,186.15,187.66,177.89,187.44,9602027
2022-05-24,182.0,184.0,177.17,180.34,7706372
2022-05-25,180.28,188.87,180.17,187.83,8522092
2022-05-26,186.49,192.3402,183.0916,191.4,8049933
2022-05-27,193.19,195.25,190.3722,195.19,8585987
2022-05-31,196.18,199.95,190.8,197.44,11398460
2022-06-01,198.7,202.74,191.6606,192.91,8416151
2022-06-02,192.02,205.47,191.72,205.09,9623121
2022-06-03,200.14,202.95,198.05,198.98,7191775
2022-06-06,202.09,203.87,195.38,197.14,5372043
2022-06-07,194.87,199.6,193.0,198.61,4839491
2022-06-08,197.95,207.38,197.64,202.83,7244121
2022-06-09,200.65,201.69,192.54,192.77,6948967
2022-06-10,182.64,185.86,180.85,182.94,13074280
2022-06-13,177.07,179.09,168.9571,169.69,10222407
2022-06-14,169.75,172.0622,164.28,167.54,11555323
2022-06-15,169.258,183.845,168.53,180.11,12396041
2022-06-16,174.0,176.27,171.56,173.35,8201306
2022-06-17,173.63,179.65,173.34,175.51,12133372
2022-06-21,177.6,178.6189,169.8,170.91,12177592
2022-06-22,170.75,182.82,170.2,178.89,12010615
2022-06-23,180.5,182.76,175.87,181.71,9538226
2022-06-24,183.5,191.19,181.84,190.85,12423974
2022-06-27,191.77,191.78,182.39,189.14,8363879
2022-06-28,189.2,192.2,179.37,179.6,7201897
2022-06-29,179.55,180.665,175.1,178.36,5766847
2022-06-30,177.07,179.45,170.3,174.87,7894710
2022-07-01,176.49,180.1,174.27,179.95,5201583
2022-07-05,176.28,185.92,172.6801,185.88,7339023
2022-07-06,185.2,186.22,180.82,184.06,5753385
2022-07-07,184.27,190.21,183.5,189.27,6334545
2022-07-08,186.02,189.91,182.75,186.975,5835680
2022-07-11,184.73,184.99,176.89,177.34,6048447
2022-07-12,177.33,179.7839,173.42,174.45,6845264
2022-07-13,170.5,179.18,169.702,176.56,12734421
2022-07-14,175.56,177.52,171.82,174.78,9039457
2022-07-15,175.58,189.22,174.56,189.11,16319116
2022-07-18,192.5,199.67,189.8,190.92,16322845
2022-07-19,193.02,201.97,188.4,201.63,28178716
2022-07-20,208.17,216.9699,200.1,216.44,53920266
2022-07-21,214.3,224.32,211.5,223.88,23430117
2022-07-22,222.38,229.35,218.44,220.44,17805452
2022-07-25,221.31,225.23,216.35,218.51,10935247
2022-07-26,216.66,219.39,211.64,213.91,9508532
2022-07-27,216.48,227.78,214.58,226.75,10508385
2022-07-28,224.6,228.1,219.67,226.02,8972738
2022-07-29,223.29,230.75,222.4,224.9,9064937
2022-08-01,223.095,228.39,221.0,226.21,5525044
