Date,Open,High,Low,Close,Volume
2022-05-19,76.83,82.31,76.83,81.28,19779340
2022-05-20,83.71,83.77,77.56,80.54,16887352
2022-05-23,80.44,82.06,79.28,81.18,12309245
2022-05-24,79.89,80.0,77.2,78.65,13309573
2022-05-25,77.96,80.78,77.25,80.12,14075385
2022-05-26,80.37,81.3,79.751,80.42,21681859
2022-05-27,81.16,85.42,80.74,85.21,16874052
2022-05-31,84.705,86.5915,83.14,85.21,15499955
2022-06-01,85.47,86.77,81.85,82.48,11019066
2022-06-02,82.22,88.61,82.22,88.32,17299832
2022-06-03,86.68,88.1,85.7,86.53,11808262
2022-06-06,87.96,88.99,86.4,86.81,12471993
2022-06-07,85.1,88.82,84.52,88.59,10423790
2022-06-08,88.32,89.32,86.89,87.51,9129602
2022-06-09,86.81,88.13,84.07,84.11,11771458
2022-06-10,80.43,81.46,78.25,79.3,19130861
2022-06-13,76.03,78.13,73.46,73.72,19674409
2022-06-14,74.3,75.08,71.455,72.46,19289260
2022-06-15,73.47,77.1,72.39,75.83,17165614
2022-06-16,73.33,74.065,70.71,71.23,14404309
2022-06-17,71.33,73.6599,70.47,72.9,17231100
2022-06-21,74.51,75.0,72.28,72.37,14934769
2022-06-22,71.87,74.575,71.3788,72.97,13590705
2022-06-23,73.27,74.0,71.56,73.81,16986787
2022-06-24,74.79,78.66,74.39,77.68,29843842
2022-06-27,77.99,78.45,75.32,75.94,11657201
2022-06-28,75.68,76.92,71.6121,71.82,15005631
2022-06-29,71.212,72.15,69.7701,71.47,11344507
2022-06-30,70.82,70.89,67.58,69.84,14264683
2022-07-01,69.78,71.7,69.66,71.4,9727264
2022-07-05,70.18,74.485,68.76,74.4,12833153
2022-07-06,74.83,75.4,72.63,73.24,9436619
2022-07-07,73.18,75.15,72.77,75.04,10739774
2022-07-08,73.12,74.76,71.83,73.43,11734548
2022-07-11,72.66,73.28,70.0698,70.47,10875733
2022-07-12,70.46,72.51,70.46,71.43,12294873
2022-07-13,69.22,72.07,68.51,71.36,12037030
2022-07-14,70.52,70.85,68.71,69.55,9822455
2022-07-15,70.53,74.0,70.25,73.91,14155264
2022-07-18,75.118,76.56,73.61,74.13,14053055
2022-07-19,75.46,77.9,74.32,77.74,11531787
2022-07-20,76.88,80.31,76.85,80.24,13929305
